"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 09:39:44 GMT 2024","Tue Nov 05 09:39:44 GMT 2024","785","chromium","checkout-test.spec.js","Functionality Test - Checkout","","","@smoke - Verify Checkout Page",""
"passed","Tue Nov 05 09:46:52 GMT 2024","Tue Nov 05 09:46:53 GMT 2024","318","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for cart page without login",""
"passed","Tue Nov 05 09:45:48 GMT 2024","Tue Nov 05 09:46:49 GMT 2024","60446","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Test Github Actions - hasilnya failed",""
"passed","Tue Nov 05 09:42:47 GMT 2024","Tue Nov 05 09:43:47 GMT 2024","60397","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-info page without login",""
"passed","Tue Nov 05 09:46:49 GMT 2024","Tue Nov 05 09:46:50 GMT 2024","563","chromium","login-test.spec.js","Functionality Test - Login","","","@smoke - Verify login process with valid credentials",""
"passed","Tue Nov 05 09:46:56 GMT 2024","Tue Nov 05 09:46:56 GMT 2024","505","chromium","product-test.spec.js","Data Validation Test - Product","","","Verify product information match across pages",""
"passed","Tue Nov 05 09:39:42 GMT 2024","Tue Nov 05 09:39:43 GMT 2024","605","chromium","cart-test.spec.js","Functionality Test - Cart","","","@smoke - Verify adding product to cart and product information are accurate",""
"passed","Tue Nov 05 09:39:43 GMT 2024","Tue Nov 05 09:39:44 GMT 2024","616","chromium","cart-test.spec.js","Functionality Test - Cart","","","@smoke - Verify removing product from cart",""
"passed","Tue Nov 05 09:39:41 GMT 2024","Tue Nov 05 09:39:42 GMT 2024","1030","chromium","cart-test.spec.js","Functionality Test - Cart","","","Verify Cart Page",""
"passed","Tue Nov 05 09:41:47 GMT 2024","Tue Nov 05 09:42:47 GMT 2024","60295","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Can not access cart page without login",""
"passed","Tue Nov 05 09:39:45 GMT 2024","Tue Nov 05 09:39:46 GMT 2024","814","chromium","checkout-test.spec.js","Error Handling Test - Checkout","","","Verify error message for blank fields",""
"passed","Tue Nov 05 09:43:47 GMT 2024","Tue Nov 05 09:44:48 GMT 2024","60415","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-overview page without login",""
"passed","Tue Nov 05 09:46:53 GMT 2024","Tue Nov 05 09:46:54 GMT 2024","364","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-info page without login",""
"passed","Tue Nov 05 09:39:46 GMT 2024","Tue Nov 05 09:40:46 GMT 2024","60384","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Can not access inventory page without login",""
"passed","Tue Nov 05 09:46:51 GMT 2024","Tue Nov 05 09:46:51 GMT 2024","403","chromium","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank username field",""
"passed","Tue Nov 05 09:46:55 GMT 2024","Tue Nov 05 09:46:56 GMT 2024","559","chromium","product-test.spec.js","Functionality Test - Product","","","Verify sort product function by names and prices",""
"passed","Tue Nov 05 09:46:49 GMT 2024","Tue Nov 05 09:46:49 GMT 2024","414","chromium","login-test.spec.js","Functionality Test - Login","","","Verify Login Page",""
"passed","Tue Nov 05 09:46:54 GMT 2024","Tue Nov 05 09:46:55 GMT 2024","432","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-complete inventory page without login",""
"passed","Tue Nov 05 09:44:48 GMT 2024","Tue Nov 05 09:45:48 GMT 2024","60393","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Can not access checkout-complete page without login",""
"passed","Tue Nov 05 09:46:54 GMT 2024","Tue Nov 05 09:46:54 GMT 2024","331","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for checkout-overview inventory page without login",""
"passed","Tue Nov 05 09:39:44 GMT 2024","Tue Nov 05 09:39:45 GMT 2024","700","chromium","checkout-test.spec.js","Data Validation Test - Checkout","","","Verify data product are accurate in checkout process",""
"passed","Tue Nov 05 09:46:53 GMT 2024","Tue Nov 05 09:46:53 GMT 2024","332","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for access inventory page without login",""
"passed","Tue Nov 05 09:46:50 GMT 2024","Tue Nov 05 09:46:51 GMT 2024","1417","chromium","login-test.spec.js","Functionality Test - Login","","","@smoke - Verify logout process",""
"passed","Tue Nov 05 09:46:51 GMT 2024","Tue Nov 05 09:46:52 GMT 2024","460","chromium","login-test.spec.js","Error Handling Test - Login","","","Verify error message for blank password field",""
"passed","Tue Nov 05 09:46:53 GMT 2024","Tue Nov 05 09:46:53 GMT 2024","332","chromium","not_login-test.spec.js","Error Handling Test - Access Web when Not Login","","","Verify error message for access inventory-item page without login",""
"passed","Tue Nov 05 09:46:55 GMT 2024","Tue Nov 05 09:46:55 GMT 2024","551","chromium","product-test.spec.js","Functionality Test - Product","","","Verify Inventory Page and Inventory Item Page",""
"passed","Tue Nov 05 09:40:46 GMT 2024","Tue Nov 05 09:41:47 GMT 2024","60392","chromium","fail-test.spec.js","@explore - Test pass when fail","","","Can not access inventory-item page without login",""
"passed","Tue Nov 05 09:46:52 GMT 2024","Tue Nov 05 09:46:52 GMT 2024","499","chromium","login-test.spec.js","Error Handling Test - Login","","","Verify error message for incorrect password",""
