"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Web Interface","Cart","User remove product to cart","0","0","1","0","0"
"Web Interface","Product Listing & Detail","Product pages visual","0","0","1","0","0"
"Web Interface","Authentication","Invalid User login to the web","0","0","3","0","0"
"Web Interface","Authentication","User access Web without Login","0","0","6","0","0"
"Web Interface","Checkout","User fill invalid checkout information","0","0","1","0","0"
"Web Interface","Product Listing & Detail","User sorting & filtering product","0","0","1","0","0"
"Web Interface","Authentication","Valid User login to the web","0","0","2","0","0"
"Web Interface","Cart","Cart page visual","0","0","1","0","0"
"Web Interface","Checkout","Checkout pages visual","0","0","1","0","0"
"Web Interface","Checkout","Checkout Information","0","0","1","0","0"
"Web Interface","Cart","User adding product to cart","0","0","1","0","0"
"Web Interface","Product Listing & Detail","Product Information","0","0","1","0","0"
"Web Interface","Authentication","Login page visual","0","0","1","0","0"
