"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","843","@smoke - Verify login process with valid credentials","webkit","Mon Nov 04 14:50:53 WIB 2024","failed","Mon Nov 04 14:50:54 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","6291","@smoke - Verify adding product to cart and product information are accurate","firefox","Mon Nov 04 14:21:40 WIB 2024","passed","Mon Nov 04 14:21:46 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","2732","Verify error message for blank password field","firefox","Mon Nov 04 14:23:36 WIB 2024","passed","Mon Nov 04 14:23:39 WIB 2024","Error Handling Test - Login","login-test.spec.js","",""
"","28783","Verify Cart Page","webkit","Mon Nov 04 14:50:14 WIB 2024","passed","Mon Nov 04 14:50:43 WIB 2024","Functionality Test - Cart","cart-test.spec.js","",""
"","3447","@smoke - Verify Checkout Page","Mobile Chrome","Mon Nov 04 14:26:13 WIB 2024","passed","Mon Nov 04 14:26:17 WIB 2024","Functionality Test - Checkout","checkout-test.spec.js","",""
"","62013","Can not access checkout-info page without login","Mobile Safari","Mon Nov 04 14:28:58 WIB 2024","passed","Mon Nov 04 14:30:00 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","62058","Can not access checkout-overview page without login","firefox","Mon Nov 04 14:23:00 WIB 2024","passed","Mon Nov 04 14:24:02 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","4113","@smoke - Verify login process with valid credentials","Mobile Chrome","Mon Nov 04 14:27:55 WIB 2024","passed","Mon Nov 04 14:27:59 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1815","Can not access cart page without login","webkit","Mon Nov 04 14:50:50 WIB 2024","passed","Mon Nov 04 14:50:52 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","61708","Can not access checkout-overview page without login","chromium","Mon Nov 04 14:20:53 WIB 2024","passed","Mon Nov 04 14:21:54 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","1292","Verify Login Page","Mobile Safari","Mon Nov 04 14:30:00 WIB 2024","passed","Mon Nov 04 14:30:01 WIB 2024","Functionality Test - Login","login-test.spec.js","",""
"","1297","Verify error message for access inventory-item page without login","webkit","Mon Nov 04 14:51:02 WIB 2024","failed","Mon Nov 04 14:51:04 WIB 2024","Error Handling Test - Access Web when Not Login","not_login-test.spec.js","",""
"","62524","Can not access checkout-complete page without login","Mobile Safari","Mon Nov 04 14:29:43 WIB 2024","passed","Mon Nov 04 14:30:46 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
"","2265","Verify sort product function by names and prices","Mobile Chrome","Mon Nov 04 14:28:19 WIB 2024","passed","Mon Nov 04 14:28:21 WIB 2024","Functionality Test - Product","product-test.spec.js","",""
"","61230","Can not access cart page without login","chromium","Mon Nov 04 14:19:54 WIB 2024","passed","Mon Nov 04 14:20:56 WIB 2024","@explore - Test pass when fail","fail-test.spec.js","",""
